"","suminc_before_application","default_option","quarter_ofyear","children","years_education","totweeksbenefits26","totincome26","age","benefits_wk13","location","female","partner","totweekswage26","benefits_wk26","searchperiod"
"1",5.5640898,"normal",1,0,10,23,4650.9971,34,1,"Centrum/Oost",0,0,0,0,1
"2",1,"normal",3,0,15,26,6573.1543,31,1,"Centrum/Oost",1,0,0,1,0
"3",14.32915,"normal",3,0,16.5,0,3115.7368,30,0,"Centrum/Oost",0,0,19,0,1
"4",1.43457386,"normal",2,0,15,26,5577.7534,47,1,"Centrum/Oost",1,0,0,1,1
"5",50.355732,"normal",1,0,15,21,6606.7549,40,1,"Centrum/Oost",0,0,26,0,0
"6",45.143379,"normal",1,0,13,22,6213.291,32,1,"Centrum/Oost",0,0,0,1,0
"7",1,"normal",2,0,13,26,5417.7837,42,1,"Centrum/Oost",1,0,0,1,0
"8",28.149,"normal",1,1,10,26,8045.8687,28,1,"Centrum/Oost",1,0,13,1,0
"9",54.89716,"normal",1,0,6,26,5205.2554,54,1,"Centrum/Oost",0,0,0,1,0
"10",51.796326,"normal",3,0,15,26,7771.3755,28,1,"Centrum/Oost",1,0,2,1,1
"11",8.3562999,"normal",3,0,11.5,11,10929.94,28,1,"Centrum/Oost",0,0,23,0,1
"12",43.139885,"normal",3,0,13,0,7638.3125,29,0,"Centrum/Oost",0,0,23,0,1
"13",8.168819,"normal",3,0,15,0,506.57706,55,0,"Centrum/Oost",0,0,5,0,0
"14",55.820496,"normal",2,0,16.5,26,5886.3755,49,1,"Centrum/Oost",0,0,0,1,0
"15",45.229103,"normal",2,0,11.5,5,7945.395,28,0,"Centrum/Oost",0,0,24,1,0
"16",64.982555,"normal",1,0,13,0,6691.8242,56,0,"Centrum/Oost",0,0,26,0,1
"17",1,"normal",2,0,6,26,9759.6064,51,1,"Centrum/Oost",0,0,11,1,0
"18",59.177151,"normal",2,0,15,22,6721.4761,28,1,"Centrum/Oost",1,0,0,1,1
"19",1,"normal",1,0,13,22,4580.1636,48,1,"Centrum/Oost",0,0,6,1,1
"20",24.408449,"normal",1,0,10,17,8051.8892,34,1,"Centrum/Oost",1,0,22,0,1
"21",82.431984,"normal",1,0,15,0,12389.109,34,0,"Centrum/Oost",0,0,25,0,1
"22",55.293953,"normal",1,0,16.5,0,2484.5317,31,0,"Centrum/Oost",1,0,15,0,1
"23",20.620394,"normal",2,0,6,0,3822.9399,36,0,"Centrum/Oost",0,0,26,0,0
"24",21.869247,"normal",2,0,15,25,5493.9624,45,1,"Centrum/Oost",1,0,0,1,0
"25",22.306677,"normal",1,0,15,26,5576.2334,47,1,"Centrum/Oost",1,0,0,1,1
"26",7.7529941,"normal",2,0,11.5,26,5543.7842,29,1,"Zuid/West",0,0,0,1,0
"27",15.53404,"normal",1,0,10,26,3519.79,50,1,"Centrum/Oost",0,0,26,1,1
"28",65.449562,"normal",2,0,15,26,5818.2148,46,1,"Centrum/Oost",0,0,0,1,0
"29",1.044200636,"normal",3,0,11.5,6,2064.6838,47,0,"Centrum/Oost",0,1,7,0,0
"30",1,"normal",2,0,13,26,5587.0176,59,1,"Centrum/Oost",0,0,0,1,0
"31",22.781271,"normal",1,0,NA,9,10371.852,33,0,"Centrum/Oost",1,0,18,0,1
"32",4.8879237,"normal",2,0,15,26,5432.1343,50,1,"Centrum/Oost",0,0,0,1,0
"33",11.206498,"normal",2,0,16.5,16,2761.7,35,1,"Centrum/Oost",1,0,0,0,1
"34",48.78957,"normal",1,1,15,20,9748.3379,55,1,"Centrum/Oost",1,0,18,0,1
"35",12.4404,"normal",2,0,10,0,1389.1598,28,0,"Centrum/Oost",0,0,7,0,1
"36",27.066483,"normal",3,0,13,0,8077.3496,36,0,"Centrum/Oost",0,0,26,0,1
"37",16.588135,"normal",3,1,NA,6,10401.783,29,0,"Centrum/Oost",1,0,26,0,0
"38",34.820663,"normal",3,1,13,26,7940.7036,51,1,"Centrum/Oost",1,0,26,1,0
"39",20.21867,"normal",2,1,13,26,6296.6475,58,1,"Centrum/Oost",1,1,26,1,1
"40",42.42292,"normal",3,1,6,26,5812.6216,38,1,"Centrum/Oost",1,0,0,1,0
"41",44.491608,"normal",1,0,NA,26,86.358421,28,1,"Centrum/Oost",0,0,0,1,1
"42",37.330727,"normal",2,1,10,26,2258.4814,61,1,"Centrum/Oost",0,1,0,1,0
"43",22.414158,"normal",3,0,11.5,26,5627.8228,30,1,"Zuid/West",1,0,0,1,1
"45",40.001614,"normal",1,0,NA,26,7650.2715,43,1,"Zuid/West",0,1,0,1,1
"46",32.686012,"never",2,0,11.5,26,0,40,1,"Zuid/West",1,0,0,1,0
"47",14.317001,"never",2,0,10,26,5096.9521,34,1,"Zuid/West",0,0,4,1,0
"48",27.044199,"normal",4,0,11.5,26,5559.5049,42,1,"Zuid/West",0,0,0,1,0
"49",3.5766518,"never",2,0,16.5,26,6127.3472,29,1,"Zuid/West",1,0,26,1,0
"50",29.275593,"normal",4,0,10,25,4636.7236,32,1,"Zuid/West",0,0,0,1,1
"51",4.0292296,"never",2,1,15,19,5369.5015,53,1,"Zuid/West",0,1,0,0,0
"52",26.879372,"never",3,1,6,25,8699.8838,49,1,"Zuid/West",0,1,26,1,0
"53",10.5507555,"normal",1,0,13,26,6057.2944,28,1,"Zuid/West",0,0,14,1,1
"54",34.805805,"never",4,0,16.5,20,6643.7827,35,1,"Zuid/West",0,0,9,0,0
"55",24.044775,"never",4,0,11.5,26,4761.936,61,1,"Zuid/West",0,0,0,1,0
"56",19.540892,"normal",3,0,16.5,0,4338.8628,46,0,"Zuid/West",1,0,26,0,0
"58",22.261816,"normal",3,1,10,23,4412.3423,49,1,"Zuid/West",1,0,0,1,0
"59",75.598366,"never",4,0,13,7,1388.062,39,0,"Zuid/West",0,0,0,0,0
"60",33.479424,"never",4,0,10,23,4864.8364,29,1,"Zuid/West",0,0,0,0,0
"61",17.813316,"normal",3,0,11.5,17,8722.9658,51,1,"Zuid/West",0,0,22,0,0
"62",36.375835,"never",4,0,15,20,5487.8286,31,1,"Zuid/West",0,0,24,0,0
"63",43.670998,"never",4,0,6,13,10518.574,33,1,"Zuid/West",0,0,15,0,0
"64",37.333076,"normal",4,0,15,25,7911.4214,30,1,"Zuid/West",1,0,26,0,0
"65",22.559067,"normal",1,0,13,26,7383.2422,28,1,"Zuid/West",0,0,0,1,1
"66",70.033127,"normal",2,0,16.5,1,12557.25,37,0,"Zuid/West",1,0,0,0,0
"67",33.475002,"normal",1,0,6,26,5459.6685,37,1,"Zuid/West",1,0,0,1,1
"68",43.912804,"never",2,0,13,26,5430.0601,37,1,"Zuid/West",0,0,0,1,0
"70",12.122882,"never",3,0,16.5,7,2652.2886,30,0,"Zuid/West",0,0,14,0,0
"71",37.160583,"normal",2,0,10,0,17429.543,37,0,"Zuid/West",0,0,26,0,0
"72",41.296581,"never",3,0,10,26,5359.7144,31,1,"Zuid/West",0,0,0,1,1
"74",3.2302606,"never",3,0,6,0,0,53,0,"Zuid/West",1,0,0,0,0
"75",22.864109,"normal",2,0,13,26,5563.0742,36,1,"Zuid/West",1,0,0,1,1
"76",34.063595,"never",3,0,6,26,4629.5347,35,1,"Zuid/West",0,0,0,1,0
"77",63.417961,"normal",2,0,16.5,14,2400.1809,36,1,"Zuid/West",0,0,0,0,0
"78",0,"never",3,0,16.5,4,10990.842,30,0,"Zuid/West",1,0,23,0,0
"79",77.48642,"never",4,0,16.5,23,6514.833,28,1,"Zuid/West",1,0,4,0,0
"80",14.649375,"normal",2,0,15,0,0,51,0,"Zuid/West",1,0,0,0,1
"81",37.694366,"normal",2,0,10,26,5488.791,52,1,"Zuid/West",0,0,0,1,0
"82",38.377285,"never",4,0,11.5,5,1079.5995,32,0,"Zuid/West",0,0,0,0,0
"83",32.432877,"never",4,0,10,15,6421.7744,30,1,"Zuid/West",0,0,8,0,0
"84",36.392971,"never",3,0,6,8,9839.1543,31,0,"Zuid/West",0,0,26,0,0
"85",4.7249455,"never",3,0,13,0,809.32117,48,0,"Zuid/West",0,0,15,0,0
"86",22.527773,"normal",2,0,13,26,5185.106,46,1,"Zuid/West",0,0,0,1,1
"87",3.1036398,"never",3,1,6,0,0,60,0,"Zuid/West",0,1,0,0,0
"88",13.900561,"never",2,0,16.5,0,74.941254,46,0,"Zuid/West",0,0,7,0,1
"90",28.25083,"never",4,0,6,18,3817.3345,46,1,"Zuid/West",1,0,0,0,0
"91",38.914982,"never",4,0,13,4,6683.918,28,0,"Zuid/West",0,0,24,0,0
"92",13.208473,"never",4,0,6,26,4886.3877,35,1,"Zuid/West",0,0,2,1,0
"93",10.9247999,"normal",1,0,16.5,0,4255.4282,37,0,"Zuid/West",0,0,18,0,1
"94",36.344154,"normal",2,0,16.5,26,5560.3047,43,1,"Zuid/West",1,0,0,1,0
"95",11.06571,"never",4,0,13,0,0,31,0,"Zuid/West",0,0,0,0,0
"97",7.18995,"normal",4,1,13,26,7711.8315,34,1,"Nieuw-West",0,0,0,1,0
"98",36.273323,"normal",2,0,15,12,10904.584,28,0,"Zuid/West",0,0,18,1,0
"100",82.358154,"normal",2,0,16.5,7,2666.6687,37,0,"Zuid/West",1,0,3,0,0
"101",46.623215,"never",3,0,15,11,12077.659,28,0,"Zuid/West",0,0,16,0,0
"102",45.341774,"never",1,0,15,6,8230.6758,45,0,"Zuid/West",1,0,23,0,0
"103",5.6844254,"never",1,0,15,22,4700.7314,45,1,"Zuid/West",0,0,0,0,0
"104",7.131577,"normal",2,0,16.5,26,4805.2705,54,1,"Zuid/West",0,0,0,1,0
"105",55.139088,"normal",2,0,13,6,13837.121,47,0,"Zuid/West",1,0,20,0,0
"106",5.2724514,"never",4,0,16.5,10,6710.2627,30,0,"Zuid/West",1,0,17,0,1
"107",34.969154,"never",4,0,16.5,0,5456.4443,33,0,"Zuid/West",0,0,22,0,1
"108",31.102921,"never",1,1,15,0,8854.7412,54,0,"Zuid/West",1,0,14,0,0
"109",22.01515,"normal",1,0,15,26,5919.8013,31,1,"Zuid/West",0,0,5,1,0
"110",53.035347,"never",4,0,13,8,9964.5205,48,0,"Zuid/West",0,0,14,0,0
"111",18.674093,"never",4,0,16.5,0,7176.458,35,0,"Zuid/West",1,0,26,0,1
"112",26.803976,"never",2,0,13,26,4776.2222,30,1,"Zuid/West",0,0,0,1,0
"113",31.04216,"never",3,0,11.5,26,6565.4297,47,1,"Zuid/West",0,0,6,1,0
"114",35.685032,"normal",1,0,6,25,7944.2373,41,1,"Zuid/West",0,0,12,0,1
"115",0.48530409,"never",3,0,6,26,4405.3887,40,1,"Zuid/West",0,0,0,1,1
"116",41.846348,"never",4,0,13,12,4514.5596,49,0,"Zuid/West",0,0,12,0,0
"117",1,"normal",1,0,10,26,5795.2026,42,1,"Zuid/West",0,0,0,1,1
"118",46.877949,"never",4,0,13,26,4286.7754,31,1,"Zuid/West",1,0,0,1,0
"119",30.800444,"normal",1,0,6,26,7218.4639,50,1,"Zuid/West",0,0,5,1,1
"120",16.199621,"never",3,0,16.5,26,5009.7217,56,1,"Zuid/West",0,0,0,1,0
"121",34.087791,"never",2,0,15,3,635.17993,33,0,"Zuid/West",1,0,5,0,0
"123",61.322376,"never",4,0,15,26,5357.1431,41,1,"Zuid/West",1,0,0,1,0
"124",43.049923,"never",4,0,13,26,11309.09,28,1,"Zuid/West",1,0,26,1,0
"125",43.186714,"never",3,0,15,18,4853.9165,44,1,"Zuid/West",1,0,11,0,0
"126",71.321754,"normal",1,0,11.5,2,17895.566,37,0,"Zuid/West",0,0,26,0,1
"127",56.679771,"never",4,1,15,26,6482.7256,38,1,"Zuid/West",1,0,0,1,0
"128",0,"never",4,0,10,26,5549.4341,44,1,"Zuid/West",0,0,0,1,0
"129",16.905979,"never",4,0,16.5,8,7918.9697,31,0,"Zuid/West",0,0,18,0,0
"130",40.658508,"never",4,0,15,19,6980.2793,49,1,"Zuid/West",0,0,9,0,0
"131",46.893841,"normal",4,0,13,26,5000.168,42,1,"Zuid/West",0,0,0,1,0
"132",45.895561,"normal",4,0,10,24,5075.8906,30,1,"Zuidoost",1,0,0,1,0
"133",58.374214,"normal",4,0,10,16,4740.7627,43,1,"Zuidoost",0,0,13,0,0
